row_kind,mode,mode_name,tracking_mode,pid_tid_cache,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_probe_ops,overhead_pct,records_or_events,malloc_events,free_events,alloc_records,free_records,unmatched_free,logs
baseline,baseline_no_hook,baseline_no_hook,none,n/a,1,32,5,20,1,-1,0,16703859.20,16703859.20,0.0000,0,0,0,0,0,0,;
ld_preload,ld_preload_stage6_default,stage6_notify,global,0,1,32,5,20,1,-1,0,16703859.20,263155.40,98.4246,2634184,1315779,1315775,1315779,1315775,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ld_preload_stage6_default_global_cache0_t1_s32_d5.consumer.log
ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,1,32,5,20,1,-1,0,16703859.20,645578.60,96.1352,6462241,3227897,3227893,3227897,3227893,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ld_preload_stage6_optimized_sharded_cache1_t1_s32_d5.consumer.log
ebpf_uprobe,ebpf_count_only,ebpf_count_only,none,n/a,1,32,5,20,1,-1,0,16703859.20,219036.00,98.6887,2190371,1095184,1095187,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ebpf_count_only_t1_s32_d5.bpftrace.log;
ebpf_uprobe,ebpf_sample_filter,ebpf_sample_filter,none,n/a,1,32,5,20,1,-1,0,16703859.20,174049.80,98.9580,870253,870253,870256,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ebpf_sample_filter_t1_s32_d5.bpftrace.log;
ebpf_uprobe,ebpf_tracking,ebpf_tracking,none,n/a,1,32,5,20,1,-1,0,16703859.20,166457.00,99.0035,1664576,832289,832292,832289,832287,5,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ebpf_tracking_t1_s32_d5.bpftrace.log;
baseline,baseline_no_hook,baseline_no_hook,none,n/a,4,32,5,20,1,-1,0,13821865.00,13821865.00,0.0000,0,0,0,0,0,0,;
ld_preload,ld_preload_stage6_default,stage6_notify,global,0,4,32,5,20,1,-1,0,13821865.00,50439.00,99.6351,504900,252203,252190,252203,252190,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ld_preload_stage6_default_global_cache0_t4_s32_d5.consumer.log
ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,4,32,5,20,1,-1,0,13821865.00,309284.60,97.7624,3095942,1546429,1546421,1546429,1546421,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ld_preload_stage6_optimized_sharded_cache1_t4_s32_d5.consumer.log
ebpf_uprobe,ebpf_count_only,ebpf_count_only,none,n/a,4,32,5,20,1,-1,0,13821865.00,545047.60,96.0566,3702156,1778669,1923487,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ebpf_count_only_t4_s32_d5.bpftrace.log;
ebpf_uprobe,ebpf_sample_filter,ebpf_sample_filter,none,n/a,4,32,5,20,1,-1,0,13821865.00,420358.40,96.9587,1410582,1378660,1570511,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ebpf_sample_filter_t4_s32_d5.bpftrace.log;
ebpf_uprobe,ebpf_tracking,ebpf_tracking,none,n/a,4,32,5,20,1,-1,0,13821865.00,398210.80,97.1190,3030749,1346090,1537243,1334645,1696104,18,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/ebpf_compare_ebpf_tracking_t4_s32_d5.bpftrace.log;
