main_stage,main_stage_name,sub_stage,sub_stage_name,pid_tid_cache,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_hook_ops,overhead_pct,consumer_log
0,baseline,0,no_hook,0,1,32,5,20,1,-1,0,16910440.60,16910440.60,0.0000,
4,tracking,4,tracking_full_erase,0,1,32,5,20,1,-1,0,16910440.60,1668516.80,90.1332,
5,record_write,0,no_subablation,0,1,32,5,20,1,-1,0,16910440.60,334251.60,98.0234,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_stage5_record_write_cache0_t1_s32_d5.consumer.log
5,record_write,0,no_subablation,1,1,32,5,20,1,-1,0,16910440.60,1365697.20,91.9239,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_stage5_record_write_cache1_t1_s32_d5.consumer.log
6,notify,0,no_subablation,0,1,32,5,20,1,-1,0,16910440.60,304269.40,98.2007,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_stage6_notify_cache0_t1_s32_d5.consumer.log
6,notify,0,no_subablation,1,1,32,5,20,1,-1,0,16910440.60,1077259.40,93.6296,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_stage6_notify_cache1_t1_s32_d5.consumer.log
5,record_write,17,metadata_cached_pid_thread_local_tid,1,1,32,5,20,1,-1,0,16910440.60,1374403.20,91.8725,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage17_metadata_cached_pid_thread_local_tid_t1_s32_d5.consumer.log
5,record_write,18,cached_thread_name_no_ring,1,1,32,5,20,1,-1,0,16910440.60,1342191.40,92.0629,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage18_cached_thread_name_no_ring_t1_s32_d5.consumer.log
5,record_write,19,cached_ring_index_check,1,1,32,5,20,1,-1,0,16910440.60,1318772.60,92.2014,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage19_cached_ring_index_check_t1_s32_d5.consumer.log
5,record_write,20,cached_shm_record_copy,1,1,32,5,20,1,-1,0,16910440.60,1288518.40,92.3803,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage20_cached_shm_record_copy_t1_s32_d5.consumer.log
5,record_write,21,cached_atomic_index_self_drain,1,1,32,5,20,1,-1,0,16910440.60,1250272.40,92.6065,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage21_cached_atomic_index_self_drain_t1_s32_d5.consumer.log
0,baseline,0,no_hook,0,4,32,5,20,1,-1,0,13664341.80,13664341.80,0.0000,
4,tracking,4,tracking_full_erase,0,4,32,5,20,1,-1,0,13664341.80,464761.00,96.5987,
5,record_write,0,no_subablation,0,4,32,5,20,1,-1,0,13664341.80,74788.60,99.4527,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_stage5_record_write_cache0_t4_s32_d5.consumer.log
5,record_write,0,no_subablation,1,4,32,5,20,1,-1,0,13664341.80,275622.00,97.9829,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_stage5_record_write_cache1_t4_s32_d5.consumer.log
6,notify,0,no_subablation,0,4,32,5,20,1,-1,0,13664341.80,80804.60,99.4086,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_stage6_notify_cache0_t4_s32_d5.consumer.log
6,notify,0,no_subablation,1,4,32,5,20,1,-1,0,13664341.80,273411.40,97.9991,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_stage6_notify_cache1_t4_s32_d5.consumer.log
5,record_write,17,metadata_cached_pid_thread_local_tid,1,4,32,5,20,1,-1,0,13664341.80,429564.20,96.8563,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage17_metadata_cached_pid_thread_local_tid_t4_s32_d5.consumer.log
5,record_write,18,cached_thread_name_no_ring,1,4,32,5,20,1,-1,0,13664341.80,459570.60,96.6367,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage18_cached_thread_name_no_ring_t4_s32_d5.consumer.log
5,record_write,19,cached_ring_index_check,1,4,32,5,20,1,-1,0,13664341.80,395874.00,97.1029,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage19_cached_ring_index_check_t4_s32_d5.consumer.log
5,record_write,20,cached_shm_record_copy,1,4,32,5,20,1,-1,0,13664341.80,346760.20,97.4623,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage20_cached_shm_record_copy_t4_s32_d5.consumer.log
5,record_write,21,cached_atomic_index_self_drain,1,4,32,5,20,1,-1,0,13664341.80,432547.60,96.8345,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/cache_on_residual_substage21_cached_atomic_index_self_drain_t4_s32_d5.consumer.log
