main_stage,main_stage_name,tracking_mode,pid_tid_cache,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_hook_ops,overhead_pct,consumer_log
0,baseline,none,0,1,32,5,20,1,-1,0,17197616.80,17197616.80,0.0000,
3,mutex,none,0,1,32,5,20,1,-1,0,17197616.80,7055495.40,58.9740,
4,tracking,global,0,1,32,5,20,1,-1,0,17197616.80,1763209.40,89.7474,
5,record_write,global,1,1,32,5,20,1,-1,0,17197616.80,1373216.40,92.0151,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_global_cache1_t1_s32_d5.consumer.log
6,notify,global,1,1,32,5,20,1,-1,0,17197616.80,1070528.80,93.7751,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_global_cache1_t1_s32_d5.consumer.log
4,tracking,sharded,0,1,32,5,20,1,-1,0,17197616.80,1864012.00,89.1612,
5,record_write,sharded,1,1,32,5,20,1,-1,0,17197616.80,1346572.60,92.1700,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_sharded_cache1_t1_s32_d5.consumer.log
6,notify,sharded,1,1,32,5,20,1,-1,0,17197616.80,1058729.80,93.8437,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_sharded_cache1_t1_s32_d5.consumer.log
4,tracking,thread_local_fallback,0,1,32,5,20,1,-1,0,17197616.80,1111992.20,93.5340,
5,record_write,thread_local_fallback,1,1,32,5,20,1,-1,0,17197616.80,904754.20,94.7391,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_fallback_cache1_t1_s32_d5.consumer.log
6,notify,thread_local_fallback,1,1,32,5,20,1,-1,0,17197616.80,754905.20,95.6104,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_fallback_cache1_t1_s32_d5.consumer.log
4,tracking,thread_local_only,0,1,32,5,20,1,-1,0,17197616.80,1952127.40,88.6488,
5,record_write,thread_local_only,1,1,32,5,20,1,-1,0,17197616.80,1399647.40,91.8614,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_only_cache1_t1_s32_d5.consumer.log
6,notify,thread_local_only,1,1,32,5,20,1,-1,0,17197616.80,1094613.00,93.6351,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_only_cache1_t1_s32_d5.consumer.log
0,baseline,none,0,4,32,5,20,1,-1,0,13946497.60,13946497.60,0.0000,
3,mutex,none,0,4,32,5,20,1,-1,0,13946497.60,3156022.00,77.3705,
4,tracking,global,0,4,32,5,20,1,-1,0,13946497.60,619680.80,95.5567,
5,record_write,global,1,4,32,5,20,1,-1,0,13946497.60,351217.40,97.4817,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_global_cache1_t4_s32_d5.consumer.log
6,notify,global,1,4,32,5,20,1,-1,0,13946497.60,266692.40,98.0877,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_global_cache1_t4_s32_d5.consumer.log
4,tracking,sharded,0,4,32,5,20,1,-1,0,13946497.60,508619.80,96.3531,
5,record_write,sharded,1,4,32,5,20,1,-1,0,13946497.60,403336.00,97.1080,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_sharded_cache1_t4_s32_d5.consumer.log
6,notify,sharded,1,4,32,5,20,1,-1,0,13946497.60,372404.80,97.3298,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_sharded_cache1_t4_s32_d5.consumer.log
4,tracking,thread_local_fallback,0,4,32,5,20,1,-1,0,13946497.60,460186.20,96.7003,
5,record_write,thread_local_fallback,1,4,32,5,20,1,-1,0,13946497.60,374755.00,97.3129,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_fallback_cache1_t4_s32_d5.consumer.log
6,notify,thread_local_fallback,1,4,32,5,20,1,-1,0,13946497.60,355277.80,97.4526,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_fallback_cache1_t4_s32_d5.consumer.log
4,tracking,thread_local_only,0,4,32,5,20,1,-1,0,13946497.60,5513899.00,60.4639,
5,record_write,thread_local_only,1,4,32,5,20,1,-1,0,13946497.60,449571.40,96.7765,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_only_cache1_t4_s32_d5.consumer.log
6,notify,thread_local_only,1,4,32,5,20,1,-1,0,13946497.60,421395.60,96.9785,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_only_cache1_t4_s32_d5.consumer.log
