main_stage,main_stage_name,sub_stage,sub_stage_name,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_hook_ops,overhead_pct,consumer_log
0,baseline,0,no_hook,1,32,5,20,1,-1,0,16362746.40,16362746.40,0.0000,
4,tracking,4,tracking_full_erase,1,32,5,20,1,-1,0,16362746.40,1708359.20,89.5595,
5,record_write,0,no_subablation,1,32,5,20,1,-1,0,16362746.40,329733.80,97.9849,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_full_t1_s32_d5.consumer.log
5,record_write,5,record_fill_minimal,1,32,5,20,1,-1,0,16362746.40,1607655.20,90.1749,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage5_record_fill_minimal_t1_s32_d5.consumer.log
5,record_write,6,metadata_clock,1,32,5,20,1,-1,0,16362746.40,1534768.20,90.6204,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage6_metadata_clock_t1_s32_d5.consumer.log
5,record_write,7,metadata_pid_tid,1,32,5,20,1,-1,0,16362746.40,331477.00,97.9742,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage7_metadata_pid_tid_t1_s32_d5.consumer.log
5,record_write,8,metadata_thread_name,1,32,5,20,1,-1,0,16362746.40,332216.00,97.9697,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage8_metadata_thread_name_t1_s32_d5.consumer.log
5,record_write,9,ring_index_check,1,32,5,20,1,-1,0,16362746.40,330356.00,97.9810,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage9_ring_index_check_t1_s32_d5.consumer.log
5,record_write,10,shm_record_copy,1,32,5,20,1,-1,0,16362746.40,334127.80,97.9580,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage10_shm_record_copy_t1_s32_d5.consumer.log
5,record_write,11,atomic_index_self_drain,1,32,5,20,1,-1,0,16362746.40,326146.00,98.0068,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage11_atomic_index_self_drain_t1_s32_d5.consumer.log
0,baseline,0,no_hook,4,32,5,20,1,-1,0,13817395.20,13817395.20,0.0000,
4,tracking,4,tracking_full_erase,4,32,5,20,1,-1,0,13817395.20,479082.20,96.5328,
5,record_write,0,no_subablation,4,32,5,20,1,-1,0,13817395.20,65160.60,99.5284,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_full_t4_s32_d5.consumer.log
5,record_write,5,record_fill_minimal,4,32,5,20,1,-1,0,13817395.20,459778.80,96.6725,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage5_record_fill_minimal_t4_s32_d5.consumer.log
5,record_write,6,metadata_clock,4,32,5,20,1,-1,0,13817395.20,464499.40,96.6383,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage6_metadata_clock_t4_s32_d5.consumer.log
5,record_write,7,metadata_pid_tid,4,32,5,20,1,-1,0,13817395.20,94726.60,99.3144,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage7_metadata_pid_tid_t4_s32_d5.consumer.log
5,record_write,8,metadata_thread_name,4,32,5,20,1,-1,0,13817395.20,77969.60,99.4357,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage8_metadata_thread_name_t4_s32_d5.consumer.log
5,record_write,9,ring_index_check,4,32,5,20,1,-1,0,13817395.20,69985.40,99.4935,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage9_ring_index_check_t4_s32_d5.consumer.log
5,record_write,10,shm_record_copy,4,32,5,20,1,-1,0,13817395.20,73768.20,99.4661,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage10_shm_record_copy_t4_s32_d5.consumer.log
5,record_write,11,atomic_index_self_drain,4,32,5,20,1,-1,0,13817395.20,90630.80,99.3441,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/record_write_substage11_atomic_index_self_drain_t4_s32_d5.consumer.log
