main_stage,main_stage_name,sub_stage,sub_stage_name,tracking_mode,pid_tid_cache,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_hook_ops,overhead_pct,consumer_log
0,baseline,0,no_hook,none,0,1,32,5,20,1,-1,0,17119415.60,17119415.60,0.0000,
4,tracking,4,tracking_full_erase,sharded,0,1,32,5,20,1,-1,0,17119415.60,1824928.40,89.3400,
5,record_write,0,no_subablation,sharded,1,1,32,5,20,1,-1,0,17119415.60,1316875.80,92.3077,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_stage5_record_write_sharded_cache1_t1_s32_d5.consumer.log
6,notify,0,no_subablation,sharded,1,1,32,5,20,1,-1,0,17119415.60,1056825.20,93.8267,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_stage6_notify_sharded_cache1_t1_s32_d5.consumer.log
5,record_write,22,writer_lock_only,sharded,1,1,32,5,20,1,-1,0,17119415.60,1627671.60,90.4922,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage22_writer_lock_only_t1_s32_d5.consumer.log
5,record_write,23,writer_record_fill_cached,sharded,1,1,32,5,20,1,-1,0,17119415.60,1398038.20,91.8336,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage23_writer_record_fill_cached_t1_s32_d5.consumer.log
5,record_write,24,writer_thread_name_no_ring,sharded,1,1,32,5,20,1,-1,0,17119415.60,1364763.20,92.0280,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage24_writer_thread_name_no_ring_t1_s32_d5.consumer.log
5,record_write,25,writer_ring_index_check,sharded,1,1,32,5,20,1,-1,0,17119415.60,1326247.40,92.2530,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage25_writer_ring_index_check_t1_s32_d5.consumer.log
5,record_write,26,writer_shm_record_copy,sharded,1,1,32,5,20,1,-1,0,17119415.60,1312179.40,92.3351,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage26_writer_shm_record_copy_t1_s32_d5.consumer.log
5,record_write,27,writer_atomic_index_self_drain,sharded,1,1,32,5,20,1,-1,0,17119415.60,1197746.40,93.0036,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage27_writer_atomic_index_self_drain_t1_s32_d5.consumer.log
0,baseline,0,no_hook,none,0,4,32,5,20,1,-1,0,14894717.40,14894717.40,0.0000,
4,tracking,4,tracking_full_erase,sharded,0,4,32,5,20,1,-1,0,14894717.40,480064.40,96.7769,
5,record_write,0,no_subablation,sharded,1,4,32,5,20,1,-1,0,14894717.40,384874.60,97.4160,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_stage5_record_write_sharded_cache1_t4_s32_d5.consumer.log
6,notify,0,no_subablation,sharded,1,4,32,5,20,1,-1,0,14894717.40,368818.00,97.5238,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_stage6_notify_sharded_cache1_t4_s32_d5.consumer.log
5,record_write,22,writer_lock_only,sharded,1,4,32,5,20,1,-1,0,14894717.40,456135.00,96.9376,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage22_writer_lock_only_t4_s32_d5.consumer.log
5,record_write,23,writer_record_fill_cached,sharded,1,4,32,5,20,1,-1,0,14894717.40,441483.20,97.0360,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage23_writer_record_fill_cached_t4_s32_d5.consumer.log
5,record_write,24,writer_thread_name_no_ring,sharded,1,4,32,5,20,1,-1,0,14894717.40,435036.00,97.0793,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage24_writer_thread_name_no_ring_t4_s32_d5.consumer.log
5,record_write,25,writer_ring_index_check,sharded,1,4,32,5,20,1,-1,0,14894717.40,438697.00,97.0547,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage25_writer_ring_index_check_t4_s32_d5.consumer.log
5,record_write,26,writer_shm_record_copy,sharded,1,4,32,5,20,1,-1,0,14894717.40,409532.00,97.2505,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage26_writer_shm_record_copy_t4_s32_d5.consumer.log
5,record_write,27,writer_atomic_index_self_drain,sharded,1,4,32,5,20,1,-1,0,14894717.40,432018.00,97.0995,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_mutex_substage27_writer_atomic_index_self_drain_t4_s32_d5.consumer.log
