row_kind,backend,mode,tracking_mode,pid_tid_cache,threads,size,total_ops,iters_per_thread,baseline_elapsed_sec,baseline_ops,with_probe_elapsed_sec,with_probe_ops,elapsed_over_baseline_sec,ld_preload_optimized_elapsed_sec,elapsed_saved_vs_ld_preload_optimized_sec,records_or_events,malloc_events,calloc_events,realloc_events,free_events,alloc_records,free_records,unmatched_free,ringbuf_drops,observed_events,logs
baseline,none,baseline_no_hook,none,n/a,1,32,1000000,1000000,0.018389516,54378810.19,0.018389516,54378810.19,0.000000000,,,0,0,0,0,0,0,0,0,0,0,
ld_preload,ld_preload,ld_preload_stage6_default,global,0,1,32,1000000,1000000,0.018389516,54378810.19,3.801144080,263078.69,3.782754564,,,2002003,1000004,0,0,999999,1000004,999999,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_ld_preload_stage6_default_global_cache0_t1_s32_ops1000000.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,thread_local_fallback,1,1,32,1000000,1000000,0.018389516,54378810.19,1.511868075,661433.37,1.493478559,1.511868075,0.000000000,2002003,1000004,0,0,999999,1000004,999999,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_ld_preload_stage6_optimized_thread_local_fallback_cache1_t1_s32_ops1000000.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,none,n/a,1,32,1000000,1000000,0.018389516,54378810.19,6.271760202,159444.87,6.253370686,1.511868075,-4.759892127,2000013,1000005,1,0,1000007,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_libbpf_count_only_t1_s32_ops1000000.loader.log
ebpf_uprobe,libbpf,libbpf_sample_filter,none,n/a,1,32,1000000,1000000,0.018389516,54378810.19,6.527416374,153199.97,6.509026858,1.511868075,-5.015548299,1000006,1000005,1,0,1000007,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_libbpf_sample_filter_t1_s32_ops1000000.loader.log
ebpf_uprobe,libbpf,libbpf_tracking,none,n/a,1,32,1000000,1000000,0.018389516,54378810.19,6.418808212,155792.16,6.400418696,1.511868075,-4.906940137,2000008,1000005,1,0,1000007,1000006,1000002,3,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_libbpf_tracking_t1_s32_ops1000000.loader.log
ebpf_uprobe,libbpf,libbpf_ring_output,none,n/a,1,32,1000000,1000000,0.018389516,54378810.19,8.113691344,123248.46,8.095301828,1.511868075,-6.601823269,2000008,1000005,1,0,1000007,1000006,1000002,3,0,2000008,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_libbpf_ring_output_t1_s32_ops1000000.loader.log
baseline,none,baseline_no_hook,none,n/a,4,32,1000000,250000,0.044430537,22507042.85,0.044430537,22507042.85,0.000000000,,,0,0,0,0,0,0,0,0,0,0,
ld_preload,ld_preload,ld_preload_stage6_default,global,0,4,32,1000000,250000,0.044430537,22507042.85,18.556336319,53889.95,18.511905782,,,2002003,1000005,0,0,999997,1000005,999997,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_ld_preload_stage6_default_global_cache0_t4_s32_ops1000000.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,thread_local_fallback,1,4,32,1000000,250000,0.044430537,22507042.85,2.946887458,339341.09,2.902456921,2.946887458,0.000000000,2002007,1000007,0,0,999999,1000007,999999,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_ld_preload_stage6_optimized_thread_local_fallback_cache1_t4_s32_ops1000000.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,none,n/a,4,32,1000000,250000,0.044430537,22507042.85,1.903810815,525262.28,1.859380278,2.946887458,1.043076643,2000037,1000008,4,0,1000025,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_libbpf_count_only_t4_s32_ops1000000.loader.log
ebpf_uprobe,libbpf,libbpf_sample_filter,none,n/a,4,32,1000000,250000,0.044430537,22507042.85,1.949788157,512876.23,1.905357620,2.946887458,0.997099301,1000012,1000008,4,0,1000025,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_libbpf_sample_filter_t4_s32_ops1000000.loader.log
ebpf_uprobe,libbpf,libbpf_tracking,none,n/a,4,32,1000000,250000,0.044430537,22507042.85,1.966935073,508405.19,1.922504536,2.946887458,0.979952385,2000017,1000008,4,0,1000025,1000012,1000005,12,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_libbpf_tracking_t4_s32_ops1000000.loader.log
ebpf_uprobe,libbpf,libbpf_ring_output,none,n/a,4,32,1000000,250000,0.044430537,22507042.85,2.504811451,399231.65,2.460380914,2.946887458,0.442076007,2000017,1000008,4,0,1000025,1000012,1000005,12,0,2000017,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_fixed_libbpf_ring_output_t4_s32_ops1000000.loader.log
