row_kind,backend,mode,mode_name,tracking_mode,pid_tid_cache,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_probe_ops,overhead_pct,records_or_events,malloc_events,free_events,alloc_records,free_records,unmatched_free,ringbuf_drops,observed_events,logs
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,1,32,5,20,1,-1,0,16937912.60,16937912.60,0.0000,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,1,32,5,20,1,-1,0,16937912.60,275273.00,98.3748,2755484,1376369,1376364,1376369,1376364,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_t1_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,1,32,5,20,1,-1,0,16937912.60,710376.40,95.8060,7110864,3551885,3551881,3551885,3551881,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_t1_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,1,32,5,20,1,-1,0,16937912.60,181968.20,98.9257,1819694,909846,909848,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,1,32,5,20,1,-1,0,16937912.60,177613.20,98.9514,888071,888071,888073,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,1,32,5,20,1,-1,0,16937912.60,172536.80,98.9814,1725375,862689,862691,862689,862686,3,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,1,32,5,20,1,-1,0,16937912.60,134876.00,99.2037,1348767,674385,674387,674385,674382,3,0,1348767,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_t1_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,4,32,5,20,1,-1,0,14034555.60,14034555.60,0.0000,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,4,32,5,20,1,-1,0,14034555.60,59469.80,99.5763,595300,297356,297347,297356,297347,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_t4_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,4,32,5,20,1,-1,0,14034555.60,308404.80,97.8025,3087146,1542034,1542028,1542034,1542028,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_t4_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,4,32,5,20,1,-1,0,14034555.60,541834.80,96.1393,5418381,2709182,2709199,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,4,32,5,20,1,-1,0,14034555.60,523797.80,96.2678,2618997,2618997,2619014,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,4,32,5,20,1,-1,0,14034555.60,521129.80,96.2868,5211311,2605657,2605674,2605657,2605654,12,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,4,32,5,20,1,-1,0,14034555.60,422478.00,96.9897,4224793,2112398,2112415,2112398,2112395,12,0,4224793,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_t4_s32_d5.loader.log;
